OG0001643,64	LSUBTEL,35	INTERN,2	RSUBTEL,27
OG0001919,46	LSUBTEL,13	INTERN,22	RSUBTEL,11
OG0005616,39	LSUBTEL,14	INTERN,1	RSUBTEL,24
OG0001027,34	LSUBTEL,18	INTERN,2	RSUBTEL,14
OG0003906,26	LSUBTEL,10	INTERN,1	RSUBTEL,15
OG0000547,16	LSUBTEL,11	INTERN,0	RSUBTEL,5
OG0004656,12	LSUBTEL,6	INTERN,1	RSUBTEL,5
OG0003438,10	LSUBTEL,5	INTERN,0	RSUBTEL,5
OG0003008,10	LSUBTEL,6	INTERN,1	RSUBTEL,3
OG0008942,9	LSUBTEL,4	INTERN,0	RSUBTEL,5
OG0006949,8	LSUBTEL,3	INTERN,1	RSUBTEL,4
OG0001264,8	LSUBTEL,5	INTERN,1	RSUBTEL,2
OG0000203,8	LSUBTEL,2	INTERN,0	RSUBTEL,6
OG0002744,7	LSUBTEL,1	INTERN,0	RSUBTEL,6
OG0000065,7	LSUBTEL,3	INTERN,0	RSUBTEL,4
OG0002944,7	LSUBTEL,2	INTERN,0	RSUBTEL,5
OG0010739,6	LSUBTEL,3	INTERN,0	RSUBTEL,3
OG0018673,5	LSUBTEL,2	INTERN,0	RSUBTEL,3
OG0001209,5	LSUBTEL,0	INTERN,5	RSUBTEL,0
OG0003734,4	LSUBTEL,2	INTERN,0	RSUBTEL,2
OG0000004,4	LSUBTEL,3	INTERN,0	RSUBTEL,1
OG0000751,4	LSUBTEL,0	INTERN,0	RSUBTEL,4
OG0002065,3	LSUBTEL,0	INTERN,0	RSUBTEL,3
OG0034625,3	LSUBTEL,3	INTERN,0	RSUBTEL,0
OG0005614,3	LSUBTEL,2	INTERN,0	RSUBTEL,1
OG0004866,3	LSUBTEL,2	INTERN,0	RSUBTEL,1
OG0000340,3	LSUBTEL,2	INTERN,0	RSUBTEL,1
OG0012349,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0000468,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0009144,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0010745,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0015516,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0012354,2	LSUBTEL,2	INTERN,0	RSUBTEL,0
OG0006955,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0015512,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0001956,2	LSUBTEL,2	INTERN,0	RSUBTEL,0
OG0006907,2	LSUBTEL,2	INTERN,0	RSUBTEL,0
OG0016395,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0014075,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0001155,2	LSUBTEL,2	INTERN,0	RSUBTEL,0
OG0017342,2	LSUBTEL,2	INTERN,0	RSUBTEL,0
OG0001654,2	LSUBTEL,1	INTERN,1	RSUBTEL,0
OG0000039,2	LSUBTEL,0	INTERN,1	RSUBTEL,1
OG0010445,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0011454,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0022861,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0005734,2	LSUBTEL,2	INTERN,0	RSUBTEL,0
OG0002915,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0012876,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0004619,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0000023,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0013485,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0000043,2	LSUBTEL,2	INTERN,0	RSUBTEL,0
OG0004135,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0014803,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0011451,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0009147,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0011452,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0008949,2	LSUBTEL,2	INTERN,0	RSUBTEL,0
OG0004062,2	LSUBTEL,2	INTERN,0	RSUBTEL,0
OG0000071,2	LSUBTEL,2	INTERN,0	RSUBTEL,0
OG0010747,2	LSUBTEL,0	INTERN,2	RSUBTEL,0
OG0010447,2	LSUBTEL,0	INTERN,2	RSUBTEL,0
OG0003507,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0004658,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0022862,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0013476,2	LSUBTEL,1	INTERN,0	RSUBTEL,1
OG0010127,2	LSUBTEL,0	INTERN,0	RSUBTEL,2
OG0008234,2	LSUBTEL,2	INTERN,0	RSUBTEL,0
OG0002087,2	LSUBTEL,0	INTERN,2	RSUBTEL,0
